url,length,type,podcast
http://raumzeit-podcast.de/podlove/file/246/s/feed/c/mp3/rz037-tandem-x.mp3,48358845,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/248/s/feed/c/mp3/rz036-deutsches-raumfahrt-kontrollzentrum.mp3,60286972,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/250/s/feed/c/mp3/rz035-technology-transfer-program.mp3,41668515,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/252/s/feed/c/mp3/rz034-space-situational-awareness.mp3,44783288,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/254/s/feed/c/mp3/rz033-energie-der-zukunft.mp3,56718211,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/256/s/feed/c/mp3/rz032-das-saturnsystem.mp3,64113106,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/258/s/feed/c/mp3/rz031-dlr-school-labs.mp3,41385402,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/260/s/feed/c/mp3/rz030-cassini-huygens.mp3,65242493,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/262/s/feed/c/mp3/rz029-herschel-weltraumteleskop.mp3,65619721,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/264/s/feed/c/mp3/rz028-estrack.mp3,61630311,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/266/s/feed/c/mp3/rz027-mars500.mp3,53765579,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/268/s/feed/c/mp3/rz026-forschen-in-schwerelosigkeit.mp3,88071972,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/270/s/feed/c/mp3/rz025-zentrum-fuer-kriseninformation.mp3,60380088,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/272/s/feed/c/mp3/rz024-rosat-wiedereintritt.mp3,30150389,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/274/s/feed/c/mp3/rz023-rosat.mp3,69393852,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/276/s/feed/c/mp3/rz022-advanced-concepts-team.mp3,73630425,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/278/s/feed/c/mp3/rz021-weltraummedizin.mp3,52319195,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/280/s/feed/c/mp3/rz020-giotto-und-rosetta.mp3,51201421,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/282/s/feed/c/mp3/rz019-space-shuttle.mp3,65750048,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/284/s/feed/c/mp3/rz018-estec-test-centre.mp3,54322530,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/286/s/feed/c/mp3/rz017-automated-transfer-vehicle.mp3,57171984,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/288/s/feed/c/mp3/rz016-sofia-infrarotteleskop.mp3,96845446,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/290/s/feed/c/mp3/rz015-softwaretechnik.mp3,42769872,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/292/s/feed/c/mp3/rz014-robotik-in-der-raumfahrt.mp3,72453090,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/294/s/feed/c/mp3/rz013-die-atmosphaere.mp3,52179960,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/296/s/feed/c/mp3/rz012-sigmund-jaehn.mp3,53613556,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/298/s/feed/c/mp3/rz011-astronautenausbildung.mp3,55348105,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/300/s/feed/c/mp3/rz010-raumstationen.mp3,94680138,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/302/s/feed/c/mp3/rz009-asteroiden-und-kometen.mp3,65611614,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/304/s/feed/c/mp3/rz008-satellitennavigation.mp3,68226730,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/306/s/feed/c/mp3/rz007-weltraumschrott.mp3,52228288,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/308/s/feed/c/mp3/rz006-erdbeobachtung.mp3,64901069,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/310/s/feed/c/mp3/rz005-planetenforschung.mp3,79726349,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/312/s/feed/c/mp3/rz004-operations.mp3,63838139,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/314/s/feed/c/mp3/rz003-raketenantriebe.mp3,73362394,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/316/s/feed/c/mp3/rz002-missionsplanung.mp3,66512565,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/318/s/feed/c/mp3/rz001-raumfahrt-in-deutschland-und-europa.mp3,54846842,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/320/s/feed/c/mp3/rz000-einfuehrung.mp3,1891625,audio/mpeg,raumzeit
http://logbuch-netzpolitik.de/podlove/file/8303/s/feed/c/mp3/lnp416-zusammenrottung-aus-dem-kreise-der-politischen-gegner-mit-hacking-affinitaet.mp3,94223032,audio/mpeg,logbuch_netzpolitik
http://logbuch-netzpolitik.de/podlove/file/8298/s/feed/c/mp3/lnp415-internationale-grundsaetze-der-hoeflichkeit-und-gegenseitigkeit.mp3,85745612,audio/mpeg,logbuch_netzpolitik
